series_id,point_index,build_plate_temp_c,layer_thickness_um,laser_power_w,scan_speed_mm_s,cantilever_z_mm,sigma_x_mpa,point_role,source_pdf_x_pt,source_pdf_y_pt,reading_bound_z_mm,reading_bound_sigma_x_mpa,uncertainty_kind,digitization_method_id,digitized_evidence_id,source_pdf_evidence_id,source_pdf_sha256,source_page,source_figure,source_class
plate150_layer30_p250_v850,10,150,30,250,850,-0.10,602.517178,trace,412.824776,158.032049,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,11,150,30,250,850,-0.11,623.933622,trace,415.221716,156.999524,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,12,150,30,250,850,-0.12,645.151862,trace,417.618655,155.976554,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,13,150,30,250,850,-0.13,655.697843,trace,420.015595,155.468113,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,14,150,30,250,850,-0.14,666.243823,trace,422.412535,154.959673,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,15,150,30,250,850,-0.15,676.141100,peak,424.809475,154.482507,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,16,150,30,250,850,-0.16,629.814073,trace,427.206415,156.716016,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,17,150,30,250,850,-0.17,583.487045,trace,429.603355,158.949526,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,18,150,30,250,850,-0.18,536.825668,trace,432.000294,161.199155,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,19,150,30,250,850,-0.19,417.277333,trace,434.397234,166.962795,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,20,150,30,250,850,-0.20,297.728999,trace,436.794174,172.726435,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,21,150,30,250,850,-0.21,178.546984,trace,439.191114,178.472415,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,22,150,30,250,850,-0.22,76.853555,first_zero_positive_bracket,441.588054,183.375238,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
